epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.992,1.70795,3.22248,0.00528,0.56938,0.24355,0.22224,0.12932,1.48032,2.13168,0.00872,0.000276926,0.000276926,0.000276926
2,142.722,1.57781,2.0495,0.00478,0.53772,0.29839,0.31154,0.1874,1.40837,1.64101,0.00815,0.000549102,0.000549102,0.000549102
3,243.388,1.52979,1.59857,0.00455,0.5613,0.36274,0.36357,0.2202,1.40988,1.46031,0.00816,0.000815781,0.000815781,0.000815781
4,267.105,1.50042,1.42337,0.00451,0.62034,0.41133,0.45129,0.27161,1.38301,1.28446,0.00804,0.00080826,0.00080826,0.00080826
5,365.528,1.46699,1.30312,0.00434,0.64488,0.43431,0.5064,0.30327,1.33444,1.17707,0.00766,0.000800013,0.000800013,0.000800013
6,389.924,1.43524,1.22278,0.00424,0.52565,0.49517,0.51756,0.32,1.31446,1.1473,0.00749,0.000791767,0.000791767,0.000791767
7,489.235,1.4211,1.18685,0.00419,0.57519,0.52909,0.54804,0.33812,1.30029,1.07264,0.00745,0.00078352,0.00078352,0.00078352
8,512.578,1.41199,1.13573,0.00412,0.65641,0.52503,0.59575,0.37546,1.2785,1.01355,0.0072,0.000775273,0.000775273,0.000775273
9,574.442,1.38368,1.08834,0.00405,0.614,0.55339,0.60844,0.38757,1.2624,0.98438,0.00709,0.000767026,0.000767026,0.000767026
10,636.715,1.37588,1.06518,0.00405,0.61824,0.57578,0.59687,0.38086,1.22361,1.00078,0.00686,0.00075878,0.00075878,0.00075878
11,698.567,1.36013,1.05313,0.00392,0.63144,0.59398,0.63003,0.39712,1.24585,0.94477,0.00695,0.000750533,0.000750533,0.000750533
12,759.528,1.34948,1.01433,0.00389,0.68377,0.56107,0.63738,0.41564,1.2096,0.92725,0.00673,0.000742286,0.000742286,0.000742286
13,858.183,1.33726,0.9931,0.00387,0.67131,0.57822,0.64787,0.41534,1.20686,0.89868,0.0067,0.00073404,0.00073404,0.00073404
14,881.63,1.33384,0.97939,0.00382,0.67913,0.60472,0.65214,0.41525,1.21346,0.89224,0.00676,0.000725793,0.000725793,0.000725793
15,942.436,1.31765,0.95612,0.00376,0.7167,0.62836,0.7035,0.44605,1.19702,0.85542,0.00679,0.000717546,0.000717546,0.000717546
16,1002.81,1.30686,0.93762,0.00369,0.69574,0.63785,0.68486,0.44268,1.19473,0.87053,0.00663,0.000709299,0.000709299,0.000709299
17,1131.87,1.28319,0.92115,0.00368,0.69599,0.63693,0.69755,0.45801,1.16988,0.84118,0.00647,0.000701053,0.000701053,0.000701053
18,1230.96,1.29545,0.91614,0.00368,0.75487,0.62057,0.71308,0.4675,1.17228,0.82909,0.00655,0.000692806,0.000692806,0.000692806
19,1255.07,1.28786,0.89712,0.00362,0.76241,0.64632,0.72786,0.47502,1.15346,0.81326,0.00634,0.000684559,0.000684559,0.000684559
20,1354.2,1.27477,0.89176,0.00362,0.71728,0.64195,0.7044,0.46601,1.14854,0.80656,0.00631,0.000676313,0.000676313,0.000676313
21,1378.56,1.27219,0.87964,0.00359,0.70471,0.63663,0.7138,0.47552,1.13122,0.79273,0.00627,0.000668066,0.000668066,0.000668066
22,1441.28,1.24941,0.85649,0.00353,0.74878,0.65165,0.73849,0.4935,1.12451,0.78603,0.00621,0.000659819,0.000659819,0.000659819
23,1541.07,1.25695,0.85944,0.00354,0.79585,0.64927,0.75653,0.50294,1.11913,0.7591,0.00629,0.000651573,0.000651573,0.000651573
24,1563.91,1.24407,0.84272,0.00352,0.7238,0.67695,0.74168,0.4934,1.12125,0.76036,0.00617,0.000643326,0.000643326,0.000643326
25,1663.83,1.22914,0.82266,0.00347,0.80322,0.67624,0.76331,0.51348,1.10945,0.75195,0.00613,0.000635079,0.000635079,0.000635079
26,1687.63,1.23237,0.82254,0.00346,0.74644,0.692,0.7598,0.50828,1.10431,0.73756,0.00608,0.000626832,0.000626832,0.000626832
27,1749.85,1.21786,0.80521,0.00341,0.78969,0.67332,0.7617,0.51265,1.09312,0.7308,0.00602,0.000618586,0.000618586,0.000618586
28,1811.37,1.2008,0.79261,0.00337,0.74592,0.70933,0.76669,0.52074,1.0797,0.7042,0.00592,0.000610339,0.000610339,0.000610339
29,1873.89,1.21491,0.79657,0.00334,0.76326,0.68431,0.77152,0.52098,1.08847,0.71413,0.00601,0.000602092,0.000602092,0.000602092
30,1935.44,1.20871,0.78466,0.00334,0.78036,0.68691,0.77795,0.52815,1.07659,0.71241,0.0059,0.000593846,0.000593846,0.000593846
31,1996.97,1.20169,0.77999,0.00335,0.78437,0.6912,0.77403,0.52475,1.06948,0.69893,0.00581,0.000585599,0.000585599,0.000585599
32,2096.49,1.18789,0.77305,0.00327,0.80053,0.69177,0.78124,0.5328,1.08227,0.68746,0.00594,0.000577352,0.000577352,0.000577352
33,2120.89,1.18557,0.76263,0.00327,0.82416,0.70658,0.78996,0.53903,1.06342,0.6827,0.00583,0.000569106,0.000569106,0.000569106
34,2182.32,1.18633,0.76125,0.00328,0.80446,0.72599,0.79863,0.54197,1.06167,0.68784,0.00578,0.000560859,0.000560859,0.000560859
35,2244.66,1.17786,0.74812,0.00323,0.82112,0.72075,0.80139,0.55142,1.05419,0.6767,0.00581,0.000552612,0.000552612,0.000552612
36,2306.65,1.17277,0.75357,0.0032,0.82036,0.71829,0.80249,0.55542,1.0613,0.67337,0.00578,0.000544365,0.000544365,0.000544365
37,2368.76,1.16621,0.73909,0.00321,0.83617,0.70596,0.80811,0.5572,1.04688,0.66217,0.00571,0.000536119,0.000536119,0.000536119
38,2430.43,1.16617,0.74385,0.0032,0.79883,0.72176,0.8024,0.55372,1.04901,0.67175,0.0057,0.000527872,0.000527872,0.000527872
39,2491.58,1.1545,0.73088,0.00318,0.82126,0.72729,0.80875,0.54789,1.04889,0.65516,0.00575,0.000519625,0.000519625,0.000519625
40,2554.03,1.1555,0.73161,0.00318,0.83484,0.7313,0.81902,0.55669,1.04337,0.64523,0.00569,0.000511379,0.000511379,0.000511379
41,2615.53,1.14844,0.71967,0.00316,0.82941,0.73884,0.81521,0.57032,1.03712,0.64614,0.00568,0.000503132,0.000503132,0.000503132
42,2714.2,1.15145,0.71646,0.00309,0.81304,0.7293,0.8178,0.56754,1.02339,0.63832,0.00559,0.000494885,0.000494885,0.000494885
43,2738.12,1.14416,0.7181,0.00311,0.80406,0.74293,0.8239,0.56867,1.02021,0.63596,0.00558,0.000486639,0.000486639,0.000486639
44,2800,1.13913,0.70707,0.00311,0.80501,0.76149,0.82456,0.57229,1.0121,0.63104,0.00547,0.000478392,0.000478392,0.000478392
45,2861.42,1.12661,0.70369,0.00308,0.83329,0.73235,0.82594,0.57853,1.01269,0.62958,0.00549,0.000470145,0.000470145,0.000470145
46,2922.46,1.12726,0.69628,0.00304,0.81192,0.73906,0.8241,0.57924,1.01067,0.62171,0.00549,0.000461898,0.000461898,0.000461898
47,2984.6,1.13155,0.70246,0.00305,0.82858,0.72815,0.82482,0.58372,1.00175,0.61638,0.00542,0.000453652,0.000453652,0.000453652
48,3084.36,1.11955,0.68464,0.003,0.80087,0.74637,0.82317,0.58334,0.99587,0.61121,0.00537,0.000445405,0.000445405,0.000445405
49,3146.6,1.12167,0.68714,0.00301,0.83786,0.75302,0.83391,0.58538,1.00048,0.61596,0.0054,0.000437158,0.000437158,0.000437158
50,3170.82,1.10886,0.67628,0.00296,0.82802,0.76067,0.83094,0.58646,0.9986,0.6052,0.00537,0.000428912,0.000428912,0.000428912
51,3269.85,1.10048,0.67307,0.00295,0.81391,0.75412,0.82239,0.58087,0.99567,0.60744,0.00536,0.000420665,0.000420665,0.000420665
